continent,location,population,total_cases,total_deaths
Europe,Bosnia and Herzegovina,3280815,10766,297
SouthAmerica,Bolivia,11673029,73534,2808
NorthAmerica,Bermuda,62273,156,9
Africa,Benin,12123198,1770,35
NorthAmerica,Belize,397621,48,2
Europe,Belgium,11589616,67242,9836
Europe,Belarus,9449321,67518,548
NorthAmerica,Barbados,287371,110,7
Asia,Bangladesh,164689383,232194,3035
Asia,Bahrain,1701583,40311,144
NorthAmerica,Bahamas,393248,484,11
Asia,Azerbaijan,10139175,31221,438
Europe,Austria,9006400,20846,716
Oceania,Australia,25499881,15582,176
NorthAmerica,Aruba,106766,119,3
Asia,Armenia,2963234,38196,728
SouthAmerica,Argentina,45195777,173342,3200
NorthAmerica,Antigua and Barbuda,97928,91,3
Africa,Angola,32866268,1000,47
Europe,Andorra,77265,918,52
Africa,Algeria,43851043,29229,1186
Europe,Albania,2877800,5105,150
Asia,Afghanistan,38928341,36471,1271
